index,Location,Metrics,Model Category,Model,y
54,S2,RMSE,MA HY,RNN GRU,14.91967116335273
55,S2,RMSE,MA HY,RNN LSTM,14.834920011664291
56,S3,RMSE,General,CNN,33.04809861128338
57,S3,RMSE,General,RNN,7.123497980377368
58,S3,RMSE,General,GRU,30.627756543996284
59,S3,RMSE,General,LSTM,29.66780238277458
60,S3,RMSE,MA,CNN,6.140766937853148
61,S3,RMSE,MA,RNN,7.455487500542469
62,S3,RMSE,MA,GRU,4.820441791215621
63,S3,RMSE,MA,LSTM,2.71548254021982
64,S3,RMSE,DReg,CNN,9.368549616542309
65,S3,RMSE,DReg,RNN,6.975450332376791
66,S3,RMSE,DReg,GRU,7.846048183412079
67,S3,RMSE,DReg,LSTM,1.0454439096322266
68,S3,RMSE,MA DReg,CNN,7.788082230459458
69,S3,RMSE,MA DReg,RNN,7.510601398266829
70,S3,RMSE,MA DReg,GRU,7.538918609514532
71,S3,RMSE,MA DReg,LSTM,6.731583830926728
72,S3,RMSE,HY,CNN LSTM,14.260056019533648
73,S3,RMSE,HY,RNN LSTM GRU,8.04025518357366
74,S3,RMSE,HY,CNN RNN GRU,5.503416513342449
75,S3,RMSE,HY,CNN GRU,14.997197998441832
76,S3,RMSE,HY,RNN GRU,14.952976647720266
77,S3,RMSE,HY,RNN LSTM,15.361984775074246
78,S3,RMSE,MA HY,CNN LSTM,15.654485067244172
79,S3,RMSE,MA HY,RNN LSTM GRU,6.963346976726101
80,S3,RMSE,MA HY,CNN RNN GRU,5.491942713652007
81,S3,RMSE,MA HY,CNN GRU,14.68946060021836
82,S3,RMSE,MA HY,RNN GRU,14.618297625904948
83,S3,RMSE,MA HY,RNN LSTM,15.888249919678568
84,S4,RMSE,General,CNN,1.7387019637028651
85,S4,RMSE,General,RNN,6.523546483365591
86,S4,RMSE,General,GRU,30.100595285022933
87,S4,RMSE,General,LSTM,27.5254109013854
88,S4,RMSE,MA,CNN,5.88274783524465
89,S4,RMSE,MA,RNN,7.326057910367743
90,S4,RMSE,MA,GRU,5.000303990924524
91,S4,RMSE,MA,LSTM,4.914444892138579
92,S4,RMSE,DReg,CNN,9.306030457890424
93,S4,RMSE,DReg,RNN,7.086927870557276
94,S4,RMSE,DReg,GRU,6.68394794893428
95,S4,RMSE,DReg,LSTM,1.4728183397772074
96,S4,RMSE,MA DReg,CNN,7.333467403656657
97,S4,RMSE,MA DReg,RNN,7.933167501437295
98,S4,RMSE,MA DReg,GRU,6.7218048478011765
99,S4,RMSE,MA DReg,LSTM,6.934776355202641
100,S4,RMSE,HY,CNN LSTM,14.122938027931848
101,S4,RMSE,HY,RNN LSTM GRU,7.014446883007379
102,S4,RMSE,HY,CNN RNN GRU,5.275495133609547
103,S4,RMSE,HY,CNN GRU,15.647329274368776
104,S4,RMSE,HY,RNN GRU,14.945877789499004
105,S4,RMSE,HY,RNN LSTM,15.26751591912258
106,S4,RMSE,MA HY,CNN LSTM,13.57840828434736
107,S4,RMSE,MA HY,RNN LSTM GRU,6.776386044222104
108,S4,RMSE,MA HY,CNN RNN GRU,5.281112289024629
109,S4,RMSE,MA HY,CNN GRU,15.10554985312079
110,S4,RMSE,MA HY,RNN GRU,14.93293451813145
111,S4,RMSE,MA HY,RNN LSTM,15.0610835903644
