index,Location,Metrics,Model Category,Model,y
83,S3,R2,MA HY,RNN LSTM,0.539277337486034
84,S4,R2,General,CNN,0.9981106035573706
85,S4,R2,General,RNN,0.9106350071394592
86,S4,R2,General,GRU,-1.0
87,S4,R2,General,LSTM,-0.671641938246264
88,S4,R2,MA,CNN,0.9282257628962216
89,S4,R2,MA,RNN,0.8860421251885873
90,S4,R2,MA,GRU,0.94947574688354
91,S4,R2,MA,LSTM,0.951359347728213
92,S4,R2,DReg,CNN,0.8131758139615444
93,S4,R2,DReg,RNN,0.893668338105148
94,S4,R2,DReg,GRU,0.9059474173435365
95,S4,R2,DReg,LSTM,1.0
96,S4,R2,MA DReg,CNN,0.8858017834222278
97,S4,R2,MA DReg,RNN,0.8655437039158993
98,S4,R2,MA DReg,GRU,0.9048244759953183
99,S4,R2,MA DReg,LSTM,0.8983889458631871
100,S4,R2,HY,CNN LSTM,0.5634621465596441
101,S4,R2,HY,RNN LSTM GRU,0.8959298891171359
102,S4,R2,HY,CNN RNN GRU,0.9432186786739016
103,S4,R2,HY,CNN GRU,0.4630468183205471
104,S4,R2,HY,RNN GRU,0.5105304007238816
105,S4,R2,HY,RNN LSTM,0.4890279545194465
106,S4,R2,MA HY,CNN LSTM,0.5968388404415295
107,S4,R2,MA HY,RNN LSTM GRU,0.9031942814009676
108,S4,R2,MA HY,CNN RNN GRU,0.943087470272775
109,S4,R2,MA HY,CNN GRU,0.4999130814126848
110,S4,R2,MA HY,RNN GRU,0.5113861138988649
111,S4,R2,MA HY,RNN LSTM,0.5028811799028501
